aut_id,nombre,apellido
1,nombre9135,apellido55834
2,nombre29239,apellido22664
3,nombre88776,apellido14747
4,nombre37973,apellido74334
5,nombre47752,apellido712
6,nombre16365,apellido13600
7,nombre54773,apellido28105
8,nombre80787,apellido95880
9,nombre61048,apellido27785
10,nombre55832,apellido63815
11,nombre38175,apellido7891
12,nombre441,apellido3933
13,nombre52120,apellido77391
14,nombre84778,apellido64134
15,nombre30846,apellido19481
16,nombre73983,apellido88468
17,nombre80040,apellido43069
18,nombre71590,apellido94240
19,nombre99416,apellido65639
20,nombre20826,apellido81357
21,nombre23482,apellido62654
22,nombre62970,apellido17340
23,nombre71355,apellido4880
24,nombre57798,apellido77186
25,nombre72909,apellido38070
26,nombre43870,apellido30179
27,nombre69885,apellido69631
28,nombre15423,apellido45283
29,nombre84712,apellido1322
30,nombre7259,apellido86306
31,nombre56209,apellido96782
32,nombre60924,apellido68164
33,nombre58798,apellido39914
34,nombre24781,apellido88622
35,nombre65443,apellido62504
36,nombre34754,apellido12225
37,nombre33037,apellido47805
38,nombre87140,apellido77497
39,nombre24643,apellido81919
40,nombre64908,apellido77713
41,nombre93532,apellido61277
42,nombre23584,apellido17749
43,nombre80130,apellido7545
44,nombre53928,apellido1892
45,nombre43832,apellido56783
46,nombre2539,apellido65319
47,nombre11898,apellido68685
48,nombre80839,apellido89981
49,nombre40531,apellido82303
50,nombre45194,apellido47524
51,nombre95396,apellido84752
52,nombre59060,apellido32049
53,nombre68908,apellido95233
54,nombre27974,apellido18845
55,nombre65878,apellido43803
56,nombre56383,apellido75671
57,nombre46309,apellido82708
58,nombre44282,apellido52189
59,nombre51834,apellido11026
60,nombre63947,apellido26075
61,nombre65536,apellido68006
62,nombre16514,apellido29193
63,nombre78908,apellido53472
64,nombre90595,apellido48225
65,nombre19197,apellido47701
66,nombre56697,apellido93231
67,nombre38415,apellido67163
68,nombre36278,apellido72270
69,nombre11572,apellido75221
70,nombre7327,apellido32275
71,nombre51323,apellido50009
72,nombre27205,apellido7330
73,nombre12795,apellido76612
74,nombre73301,apellido26965
75,nombre56727,apellido59354
76,nombre42195,apellido1627
77,nombre67244,apellido93837
78,nombre30146,apellido21948
79,nombre13988,apellido32517
80,nombre49252,apellido29363
81,nombre30629,apellido54163
82,nombre14205,apellido6043
83,nombre82840,apellido79287
84,nombre84927,apellido40711
85,nombre26564,apellido12614
86,nombre39522,apellido14834
87,nombre74004,apellido92112
88,nombre56949,apellido35463
89,nombre15957,apellido63540
90,nombre97731,apellido79187
91,nombre60305,apellido56919
92,nombre31602,apellido78238
93,nombre32172,apellido50504
94,nombre32040,apellido84466
95,nombre47980,apellido81782
96,nombre31333,apellido5716
97,nombre80584,apellido57424
98,nombre92468,apellido71292
99,nombre96505,apellido59034
100,nombre84383,apellido7628
101,nombre6614,apellido45132
102,nombre7099,apellido81156
103,nombre89827,apellido27269
104,nombre47950,apellido55912
105,nombre94603,apellido24601
106,nombre6555,apellido87510
107,nombre14419,apellido5510
108,nombre74885,apellido50072
109,nombre19782,apellido30028
110,nombre60793,apellido8888
111,nombre92264,apellido64974
112,nombre67399,apellido9885
113,nombre64678,apellido30863
114,nombre76773,apellido16285
115,nombre44467,apellido38242
116,nombre21489,apellido91912
117,nombre10849,apellido73639
118,nombre74185,apellido75964
119,nombre7322,apellido96021
120,nombre19574,apellido24271
121,nombre43387,apellido64433
122,nombre905,apellido77543
123,nombre40585,apellido39229
124,nombre48849,apellido29614
125,nombre97876,apellido10522
126,nombre59875,apellido71399
127,nombre3022,apellido34370
128,nombre87613,apellido61429
129,nombre70797,apellido37846
130,nombre57178,apellido59182
131,nombre27203,apellido87793
132,nombre87598,apellido2776
133,nombre67351,apellido43578
134,nombre56309,apellido93647
135,nombre30698,apellido6180
136,nombre22877,apellido62941
137,nombre86030,apellido50056
138,nombre56273,apellido51474
139,nombre56664,apellido82145
140,nombre12087,apellido56329
141,nombre38016,apellido99799
142,nombre87535,apellido10554
143,nombre28329,apellido29779
144,nombre16173,apellido86152
145,nombre3932,apellido69273
146,nombre32561,apellido55166
147,nombre61641,apellido75294
148,nombre38995,apellido91874
149,nombre55918,apellido25360
150,nombre81802,apellido31870
151,nombre77532,apellido96725
152,nombre89892,apellido1205
153,nombre51319,apellido70560
154,nombre65960,apellido86489
155,nombre76425,apellido4055
